,DESPAIR,JOY,MEH,,total_response,likeness,indifference,dislikeness,Chocolate,colors,shapes
Candy that is clearly just the stuff given out for free at restaurants,1325,39,405,691,2460,0.015853658536585366,0.16463414634146342,0.5386178861788617,No,#00008B,o
Gum from baseball cards,1462,44,238,716,2460,0.01788617886178862,0.09674796747967479,0.5943089430894309,No,#00008B,o
Black Jacks,793,92,617,958,2460,0.03739837398373984,0.2508130081300813,0.3223577235772358,No,#00008B,o
Jolly Rancher (bad flavor),1061,98,607,694,2460,0.03983739837398374,0.24674796747967478,0.43130081300813006,No,#00008B,o
Bonkers (the candy),495,116,857,992,2460,0.04715447154471545,0.3483739837398374,0.20121951219512196,No,#00008B,o
Maynards,579,148,709,1024,2460,0.06016260162601626,0.28821138211382114,0.23536585365853657,No,#00008B,o
Sweetums (a friend to diabetes),763,151,544,1002,2460,0.06138211382113821,0.22113821138211381,0.3101626016260163,No,#00008B,o
Anonymous brown globs that come in black and orange wrappers	(a.k.a. Mary Janes),1089,176,461,734,2460,0.07154471544715447,0.18739837398373985,0.4426829268292683,No,#00008B,o
Those odd marshmallow circus peanut things,1252,189,283,736,2460,0.07682926829268293,0.11504065040650406,0.5089430894308943,No,#00008B,o
Peeps,1085,239,426,710,2460,0.09715447154471545,0.17317073170731706,0.4410569105691057,No,#00008B,o
Chiclets,761,244,744,711,2460,0.0991869918699187,0.3024390243902439,0.30934959349593494,No,#00008B,o
Reggie Jackson Bar,486,254,706,1014,2460,0.10325203252032521,0.2869918699186992,0.1975609756097561,Yes,#543210,^
Tic Tacs,754,264,728,714,2460,0.1073170731707317,0.2959349593495935,0.3065040650406504,No,#00008B,o
Hard Candy,586,272,907,695,2460,0.11056910569105691,0.36869918699186993,0.23821138211382115,No,#00008B,o
Chick-o-Sticks (we donÕt know what that is),644,299,571,946,2460,0.12154471544715448,0.23211382113821138,0.26178861788617885,No,#00008B,o
Necco Wafers,805,353,558,744,2460,0.1434959349593496,0.22682926829268293,0.32723577235772355,No,#00008B,o
Now'n'Laters,557,361,725,817,2460,0.1467479674796748,0.29471544715447157,0.22642276422764226,No,#00008B,o
Lollipops,474,364,931,691,2460,0.14796747967479676,0.37845528455284555,0.1926829268292683,No,#00008B,o
Fuzzy Peaches,676,402,559,823,2460,0.16341463414634147,0.22723577235772358,0.27479674796747966,No,#00008B,o
Good N' Plenty,742,408,576,734,2460,0.16585365853658537,0.23414634146341465,0.3016260162601626,No,#00008B,o
Goo Goo Clusters,464,409,708,879,2460,0.16626016260162602,0.28780487804878047,0.1886178861788618,Yes,#543210,^
Dots,664,410,657,729,2460,0.16666666666666666,0.26707317073170733,0.26991869918699185,No,#00008B,o
LaffyTaffy,545,450,729,736,2460,0.18292682926829268,0.29634146341463413,0.22154471544715448,No,#00008B,o
Bottle Caps,560,465,670,765,2460,0.18902439024390244,0.27235772357723576,0.22764227642276422,No,#00008B,o
Coffee Crisp,541,474,592,853,2460,0.1926829268292683,0.24065040650406505,0.21991869918699186,Yes,#543210,^
Candy Corn,743,478,561,678,2460,0.1943089430894309,0.2280487804878049,0.3020325203252033,No,#00008B,o
Kinder Happy Hippo,570,503,442,945,2460,0.20447154471544715,0.1796747967479675,0.23170731707317074,Yes,#543210,^
Mike and Ike,550,534,647,729,2460,0.21707317073170732,0.2630081300813008,0.22357723577235772,No,#00008B,o
Smarties (Commonwealth),415,539,605,901,2460,0.21910569105691058,0.2459349593495935,0.16869918699186992,No,#00008B,o
Licorice (yes black),902,543,330,685,2460,0.22073170731707317,0.13414634146341464,0.36666666666666664,No,#00008B,o
Pixy Stix,546,543,649,722,2460,0.22073170731707317,0.2638211382113821,0.22195121951219512,No,#00008B,o
Licorice (not black),510,557,707,686,2460,0.22642276422764226,0.28739837398373985,0.2073170731707317,No,#00008B,o
Take 5,353,577,613,917,2460,0.2345528455284553,0.2491869918699187,0.1434959349593496,Yes,#543210,^
